Hubs				Lower bound1		Lower bound2		Current_obj_fun		Best_obj_fun
[0,6,24]       		9920740417.171		-----          		NaN				9076060742.490
[0,7,8]        		9609122140.317		-----          		NaN				9076060742.490
[0,7,9]        		11495693756.848		-----          		NaN				9076060742.490
[0,7,10]       		11195639568.758		-----          		NaN				9076060742.490
[0,7,11]       		11278012801.981		-----          		NaN				9076060742.490
[0,7,12]       		11358848995.737		-----          		NaN				9076060742.490
[0,7,13]       		11575188118.065		-----          		NaN				9076060742.490
[0,7,14]       		11308317706.875		-----          		NaN				9076060742.490
[0,7,15]       		11536805651.407		-----          		NaN				9076060742.490
[0,7,16]       		9327670322.513		-----          		NaN				9076060742.490
[0,7,17]       		9231798194.125		-----          		NaN				9076060742.490
[0,7,18]       		11447216991.561		-----          		NaN				9076060742.490
[0,7,19]       		9342366726.608		-----          		NaN				9076060742.490
[0,7,20]       		10868423877.093		-----          		NaN				9076060742.490
[0,7,21]       		11281088770.579		-----          		NaN				9076060742.490
[0,7,22]       		11540160538.379		-----          		NaN				9076060742.490
[0,7,23]       		11563835278.973		-----          		NaN				9076060742.490
[0,7,24]       		9304032017.335		-----          		NaN				9076060742.490
[0,8,9]        		10518281098.416		-----          		NaN				9076060742.490
[0,8,10]       		10064887934.118		-----          		NaN				9076060742.490
[0,8,11]       		9553322009.980		-----          		NaN				9076060742.490
[0,8,12]       		10674224341.802		-----          		NaN				9076060742.490
[0,8,13]       		11311515141.332		-----          		NaN				9076060742.490
[0,8,14]       		10489824487.490		-----          		NaN				9076060742.490
[0,8,15]       		10941477640.146		-----          		NaN				9076060742.490
[0,8,16]       		10490293327.475		-----          		NaN				9076060742.490
[0,8,17]       		10469422204.293		-----          		NaN				9076060742.490
[0,8,18]       		9605228189.835		-----          		NaN				9076060742.490
[0,8,19]       		10939255548.512		-----          		NaN				9076060742.490
[0,8,20]       		10421812655.428		-----          		NaN				9076060742.490
[0,8,21]       		9674444059.850		-----          		NaN				9076060742.490
[0,8,22]       		10230814204.724		-----          		NaN				9076060742.490
[0,8,23]       		11299698168.874		-----          		NaN				9076060742.490
[0,8,24]       		10622234294.691		-----          		NaN				9076060742.490
[0,9,10]       		11721921960.106		-----          		NaN				9076060742.490
[0,9,11]       		11566005274.816		-----          		NaN				9076060742.490
[0,9,12]       		12347438166.835		-----          		NaN				9076060742.490
[0,9,13]       		12767866019.956		-----          		NaN				9076060742.490
[0,9,14]       		11899210009.600		-----          		NaN				9076060742.490
[0,9,15]       		12860323611.614		-----          		NaN				9076060742.490
[0,9,16]       		10405662268.705		-----          		NaN				9076060742.490
[0,9,17]       		10294432978.228		-----          		NaN				9076060742.490
[0,9,18]       		11603545602.000		-----          		NaN				9076060742.490
[0,9,19]       		10334579304.889		-----          		NaN				9076060742.490
[0,9,20]       		11580016338.925		-----          		NaN				9076060742.490
[0,9,21]       		11676133758.270		-----          		NaN				9076060742.490
[0,9,22]       		12102074088.125		-----          		NaN				9076060742.490
[0,9,23]       		12760901320.334		-----          		NaN				9076060742.490
[0,9,24]       		10366183138.586		-----          		NaN				9076060742.490
[0,10,11]      		10954389615.648		-----          		NaN				9076060742.490
[0,10,12]      		11793023010.478		-----          		NaN				9076060742.490
[0,10,13]      		11775440598.760		-----          		NaN				9076060742.490
[0,10,14]      		11728327534.233		-----          		NaN				9076060742.490
[0,10,15]      		11780785200.003		-----          		NaN				9076060742.490
[0,10,16]      		9552376892.055		-----          		NaN				9076060742.490
[0,10,17]      		9460887899.776		-----          		NaN				9076060742.490
[0,10,18]      		11046161167.856		-----          		NaN				9076060742.490
[0,10,19]      		9676933690.190		-----          		NaN				9076060742.490
[0,10,20]      		11408934059.097		-----          		NaN				9076060742.490
[0,10,21]      		10979146474.596		-----          		NaN				9076060742.490
[0,10,22]      		11360628509.833		-----          		NaN				9076060742.490
[0,10,23]      		11764990453.914		-----          		NaN				9076060742.490
[0,10,24]      		9557305809.892		-----          		NaN				9076060742.490
[0,11,12]      		11269809784.060		-----          		NaN				9076060742.490
[0,11,13]      		11699903612.383		-----          		NaN				9076060742.490
[0,11,14]      		11147609429.208		-----          		NaN				9076060742.490
[0,11,15]      		11635990879.744		-----          		NaN				9076060742.490
[0,11,16]      		9360457774.460		-----          		NaN				9076060742.490
[0,11,17]      		9254015130.484		-----          		NaN				9076060742.490
[0,11,18]      		11711566343.181		-----          		NaN				9076060742.490
[0,11,19]      		9339995981.393		-----          		NaN				9076060742.490
[0,11,20]      		10652777562.087		-----          		NaN				9076060742.490
[0,11,21]      		11746353399.963		-----          		NaN				9076060742.490
[0,11,22]      		11698096557.157		-----          		NaN				9076060742.490
[0,11,23]      		11688884736.870		-----          		NaN				9076060742.490
[0,11,24]      		9321624796.793		-----          		NaN				9076060742.490
[0,12,13]      		12542116054.802		-----          		NaN				9076060742.490
[0,12,14]      		11975620737.845		-----          		NaN				9076060742.490
[0,12,15]      		12598165608.344		-----          		NaN				9076060742.490
[0,12,16]      		10278183872.683		-----          		NaN				9076060742.490
[0,12,17]      		10171450465.735		-----          		NaN				9076060742.490
[0,12,18]      		11303542378.936		-----          		NaN				9076060742.490
[0,12,19]      		10371832796.587		-----          		NaN				9076060742.490
[0,12,20]      		11816664687.497		-----          		NaN				9076060742.490
[0,12,21]      		11359961169.589		-----          		NaN				9076060742.490
[0,12,22]      		11782517855.843		-----          		NaN				9076060742.490
[0,12,23]      		12531836393.136		-----          		NaN				9076060742.490
[0,12,24]      		10253528862.397		-----          		NaN				9076060742.490
[0,13,14]      		12177977749.462		-----          		NaN				9076060742.490
[0,13,15]      		13266877679.668		-----          		NaN				9076060742.490
[0,13,16]      		11411875156.785		-----          		NaN				9076060742.490
[0,13,17]      		11303985719.071		-----          		NaN				9076060742.490
[0,13,18]      		11699056220.941		-----          		NaN				9076060742.490
[0,13,19]      		11238539035.790		-----          		NaN				9076060742.490
[0,13,20]      		11796656086.995		-----          		NaN				9076060742.490
[0,13,21]      		11874969216.718		-----          		NaN				9076060742.490
[0,13,22]      		12463359892.446		-----          		NaN				9076060742.490
[0,13,23]      		13803899427.312		-----          		NaN				9076060742.490
[0,13,24]      		11381815352.839		-----          		NaN				9076060742.490
[0,14,15]      		12064259846.980		-----          		NaN				9076060742.490
[0,14,16]      		9989756726.180		-----          		NaN				9076060742.490
[0,14,17]      		9917546555.044		-----          		NaN				9076060742.490
[0,14,18]      		11198818640.686		-----          		NaN				9076060742.490
[0,14,19]      		10151864000.783		-----          		NaN				9076060742.490
[0,14,20]      		11661532669.923		-----          		NaN				9076060742.490
[0,14,21]      		11186941028.010		-----          		NaN				9076060742.490
[0,14,22]      		11657042552.395		-----          		NaN				9076060742.490
[0,14,23]      		12167463090.623		-----          		NaN				9076060742.490
[0,14,24]      		10038458524.250		-----          		NaN				9076060742.490
[0,15,16]      		10900269620.406		-----          		NaN				9076060742.490
[0,15,17]      		10791088694.436		-----          		NaN				9076060742.490
[0,15,18]      		11654908595.446		-----          		NaN				9076060742.490
[0,15,19]      		10821093204.062		-----          		NaN				9076060742.490
[0,15,20]      		11775935521.300		-----          		NaN				9076060742.490
[0,15,21]      		11787645813.513		-----          		NaN				9076060742.490
[0,15,22]      		12292290969.481		-----          		NaN				9076060742.490
[0,15,23]      		13261157318.736		-----          		NaN				9076060742.490
[0,15,24]      		10864369605.308		-----          		NaN				9076060742.490
[0,16,17]      		11326946115.014		-----          		NaN				9076060742.490
[0,16,18]      		9378772755.791		-----          		NaN				9076060742.490
[0,16,19]      		10823413127.513		-----          		NaN				9076060742.490
[0,16,20]      		9753331726.720		-----          		NaN				9076060742.490
[0,16,21]      		9613344515.173		-----          		NaN				9076060742.490
[0,16,22]      		10122058974.977		-----          		NaN				9076060742.490
[0,16,23]      		11408477457.750		-----          		NaN				9076060742.490
[0,16,24]      		11193044166.589		-----          		NaN				9076060742.490
[0,17,18]      		9274747738.877		-----          		NaN				9076060742.490
[0,17,19]      		10808244033.429		-----          		NaN				9076060742.490
[0,17,20]      		9673466368.792		-----          		NaN				9076060742.490
[0,17,21]      		9507240227.948		-----          		NaN				9076060742.490
[0,17,22]      		10011967227.073		-----          		NaN				9076060742.490
[0,17,23]      		11298580771.316		-----          		NaN				9076060742.490
[0,17,24]      		11171807324.517		-----          		NaN				9076060742.490
[0,18,19]      		9373455684.909		-----          		NaN				9076060742.490
[0,18,20]      		10726046607.997		-----          		NaN				9076060742.490
[0,18,21]      		11597047364.044		-----          		NaN				9076060742.490
[0,18,22]      		11653912752.495		-----          		NaN				9076060742.490
[0,18,23]      		11688146665.696		-----          		NaN				9076060742.490
[0,18,24]      		9339925268.632		-----          		NaN				9076060742.490
[0,19,20]      		9991816929.835		-----          		NaN				9076060742.490
[0,19,21]      		9472602425.320		-----          		NaN				9076060742.490
[0,19,22]      		10069965803.272		-----          		NaN				9076060742.490
[0,19,23]      		11231330997.661		-----          		NaN				9076060742.490
[0,19,24]      		10984366281.815		-----          		NaN				9076060742.490
[0,20,21]      		10712958995.025		-----          		NaN				9076060742.490
[0,20,22]      		11149379210.199		-----          		NaN				9076060742.490
[0,20,23]      		11785346298.514		-----          		NaN				9076060742.490
[0,20,24]      		9804392752.278		-----          		NaN				9076060742.490
[0,21,22]      		11926148048.689		-----          		NaN				9076060742.490
[0,21,23]      		11863981225.648		-----          		NaN				9076060742.490
[0,21,24]      		9476824247.891		-----          		NaN				9076060742.490
[0,22,23]      		12452436202.234		-----          		NaN				9076060742.490
[0,22,24]      		10086179246.617		-----          		NaN				9076060742.490
[0,23,24]      		11373370346.786		-----          		NaN				9076060742.490
[1,2,3]        		9191756689.489		-----          		NaN				9076060742.490
[1,2,4]        		9761255327.750		-----          		NaN				9076060742.490
[1,2,5]        		10318651646.698		-----          		NaN				9076060742.490
[1,2,6]        		9117129291.091		-----          		NaN				9076060742.490
[1,2,8]        		10112081952.471		-----          		NaN				9076060742.490
[1,2,9]        		9527585924.445		-----          		NaN				9076060742.490
[1,2,12]       		9285279454.393		-----          		NaN				9076060742.490
[1,2,13]       		11373659617.531		-----          		NaN				9076060742.490
[1,2,14]       		9479865545.491		-----          		NaN				9076060742.490
[1,2,15]       		9870678753.739		-----          		NaN				9076060742.490
[1,2,16]       		11888589842.231		-----          		NaN				9076060742.490
[1,2,17]       		11787152285.329		-----          		NaN				9076060742.490
[1,2,19]       		10646709681.880		-----          		NaN				9076060742.490
[1,2,21]       		9179724349.952		-----          		NaN				9076060742.490
[1,2,22]       		9837952082.161		-----          		NaN				9076060742.490
[1,2,23]       		11042172483.286		-----          		NaN				9076060742.490
[1,2,24]       		11765205807.832		-----          		NaN				9076060742.490
[1,3,4]        		10143087947.015		-----          		NaN				9076060742.490
[1,3,5]        		10159833591.725		-----          		NaN				9076060742.490
[1,3,6]        		9349326460.779		-----          		NaN				9076060742.490
[1,3,8]        		10245122473.713		-----          		NaN				9076060742.490
[1,3,9]        		9541868101.277		-----          		NaN				9076060742.490
[1,3,10]       		9450592099.115		-----          		NaN				9076060742.490
[1,3,12]       		9707329453.165		-----          		NaN				9076060742.490
[1,3,13]       		10095931664.992		-----          		NaN				9076060742.490
[1,3,14]       		9990469250.499		-----          		NaN				9076060742.490
[1,3,15]       		9775576207.698		-----          		NaN				9076060742.490
[1,3,16]       		10149018524.466		-----          		NaN				9076060742.490
[1,3,17]       		10173840909.253		-----          		NaN				9076060742.490
[1,3,19]       		10165830871.527		-----          		NaN				9076060742.490
[1,3,20]       		9780618329.755		-----          		NaN				9076060742.490
[1,3,22]       		9418780467.227		-----          		NaN				9076060742.490
[1,3,23]       		10019833329.444		-----          		NaN				9076060742.490
[1,3,24]       		10281920210.583		-----          		NaN				9076060742.490
[1,4,5]        		10617281831.066		-----          		NaN				9076060742.490
[1,4,6]        		9545590706.104		-----          		NaN				9076060742.490
[1,4,8]        		10598771523.901		-----          		NaN				9076060742.490
[1,4,9]        		9783848532.210		-----          		NaN				9076060742.490
[1,4,10]       		9486661126.324		-----          		NaN				9076060742.490
[1,4,12]       		9952932751.618		-----          		NaN				9076060742.490
[1,4,13]       		10585563482.687		-----          		NaN				9076060742.490
[1,4,14]       		9943578565.000		-----          		NaN				9076060742.490
[1,4,15]       		10142533082.406		-----          		NaN				9076060742.490
[1,4,16]       		10604102052.641		-----          		NaN				9076060742.490
[1,4,17]       		10614832591.601		-----          		NaN				9076060742.490
[1,4,19]       		10634300053.169		-----          		NaN				9076060742.490
[1,4,20]       		9826965231.899		-----          		NaN				9076060742.490
[1,4,22]       		9605983326.938		-----          		NaN				9076060742.490
[1,4,23]       		10540026790.503		-----          		NaN				9076060742.490
[1,4,24]       		10735226781.804		-----          		NaN				9076060742.490
[1,5,6]        		9619255755.481		-----          		NaN				9076060742.490
[1,5,7]        		9259159905.059		-----          		NaN				9076060742.490
[1,5,8]        		11132936630.898		-----          		NaN				9076060742.490
[1,5,9]        		9961279408.897		-----          		NaN				9076060742.490
[1,5,10]       		9487584932.166		-----          		NaN				9076060742.490
[1,5,11]       		9280672649.115		-----          		NaN				9076060742.490
[1,5,12]       		9948421494.459		-----          		NaN				9076060742.490
[1,5,13]       		11157558301.171		-----          		NaN				9076060742.490
[1,5,14]       		10153783714.333		-----          		NaN				9076060742.490
[1,5,15]       		10306527378.763		-----          		NaN				9076060742.490
[1,5,16]       		11260657951.859		-----          		NaN				9076060742.490
[1,5,17]       		11277162162.440		-----          		NaN				9076060742.490
[1,5,18]       		9284997322.473		-----          		NaN				9076060742.490
[1,5,19]       		11401133928.848		-----          		NaN				9076060742.490
[1,5,20]       		9748612629.625		-----          		NaN				9076060742.490
[1,5,21]       		9418367669.074		-----          		NaN				9076060742.490
[1,5,22]       		10055574190.358		-----          		NaN				9076060742.490
[1,5,23]       		11017080578.551		-----          		NaN				9076060742.490
[1,5,24]       		11393024198.488		-----          		NaN				9076060742.490
[1,6,7]        		9360471826.576		-----          		NaN				9076060742.490
[1,6,8]        		9570827757.545		-----          		NaN				9076060742.490
[1,6,9]        		10197175432.452		-----          		NaN				9076060742.490
[1,6,10]       		9542545578.619		-----          		NaN				9076060742.490
[1,6,11]       		9245675175.761		-----          		NaN				9076060742.490
[1,6,12]       		9796022766.320		-----          		NaN				9076060742.490
[1,6,13]       		10043849331.244		-----          		NaN				9076060742.490
[1,6,14]       		9699770052.868		-----          		NaN				9076060742.490
[1,6,15]       		10050249613.179		-----          		NaN				9076060742.490
[1,6,16]       		10058781979.641		-----          		NaN				9076060742.490
[1,6,17]       		10091916692.591		-----          		NaN				9076060742.490
[1,6,18]       		9329185004.917		-----          		NaN				9076060742.490
[1,6,19]       		9758445245.782		-----          		NaN				9076060742.490
[1,6,20]       		9423739693.442		-----          		NaN				9076060742.490
[1,6,21]       		9269374884.422		-----          		NaN				9076060742.490
[1,6,22]       		9669013016.113		-----          		NaN				9076060742.490
[1,6,23]       		9990762824.244		-----          		NaN				9076060742.490
[1,6,24]       		10169275725.727		-----          		NaN				9076060742.490
[1,7,8]        		9207023059.167		-----          		NaN				9076060742.490
[1,7,9]        		9423291637.218		-----          		NaN				9076060742.490
[1,7,10]       		9218446947.750		-----          		NaN				9076060742.490
[1,7,11]       		9491908422.853		-----          		NaN				9076060742.490
[1,7,13]       		9628112830.963		-----          		NaN				9076060742.490
[1,7,14]       		9521508165.258		-----          		NaN				9076060742.490
[1,7,15]       		9331655358.425		-----          		NaN				9076060742.490
[1,7,16]       		9722057737.153		-----          		NaN				9076060742.490
[1,7,17]       		9738869405.133		-----          		NaN				9076060742.490
[1,7,18]       		9615270762.919		-----          		NaN				9076060742.490
[1,7,19]       		9365193532.722		-----          		NaN				9076060742.490
[1,7,21]       		9514935557.241		-----          		NaN				9076060742.490
[1,7,22]       		9745021362.877		-----          		NaN				9076060742.490
[1,7,23]       		9514478489.395		-----          		NaN				9076060742.490
[1,7,24]       		9800741209.054		-----          		NaN				9076060742.490
[1,8,9]        		9879698661.677		-----          		NaN				9076060742.490
[1,8,10]       		9487147360.711		-----          		NaN				9076060742.490
[1,8,11]       		9197823768.197		-----          		NaN				9076060742.490
[1,8,12]       		9921514954.633		-----          		NaN				9076060742.490
[1,8,13]       		10924209577.517		-----          		NaN				9076060742.490
[1,8,14]       		10144635204.288		-----          		NaN				9076060742.490
[1,8,15]       		10202625351.878		-----          		NaN				9076060742.490
[1,8,16]       		11019842847.358		-----          		NaN				9076060742.490
[1,8,17]       		11045912558.720		-----          		NaN				9076060742.490
[1,8,18]       		9214681216.719		-----          		NaN				9076060742.490
[1,8,19]       		11119389575.101		-----          		NaN				9076060742.490
[1,8,20]       		9766918616.760		-----          		NaN				9076060742.490
[1,8,21]       		9344108197.994		-----          		NaN				9076060742.490
[1,8,22]       		9944826472.376		-----          		NaN				9076060742.490
[1,8,23]       		10787388036.184		-----          		NaN				9076060742.490
[1,8,24]       		11155673020.780		-----          		NaN				9076060742.490
[1,9,10]       		9593081681.897		-----          		NaN				9076060742.490
[1,9,11]       		9401146129.915		-----          		NaN				9076060742.490
[1,9,12]       		10024683211.754		-----          		NaN				9076060742.490
[1,9,13]       		10524733833.091		-----          		NaN				9076060742.490
[1,9,14]       		9885602755.446		-----          		NaN				9076060742.490
[1,9,15]       		10535432643.289		-----          		NaN				9076060742.490
[1,9,16]       		10527787801.617		-----          		NaN				9076060742.490
[1,9,17]       		10512838163.837		-----          		NaN				9076060742.490
[1,9,18]       		9458117783.225		-----          		NaN				9076060742.490
[1,9,19]       		10137150122.863		-----          		NaN				9076060742.490
[1,9,20]       		9594974279.023		-----          		NaN				9076060742.490
[1,9,21]       		9493513035.290		-----          		NaN				9076060742.490
[1,9,22]       		9938908390.560		-----          		NaN				9076060742.490
[1,9,23]       		10474905438.455		-----          		NaN				9076060742.490
[1,9,24]       		10584706400.607		-----          		NaN				9076060742.490
[1,10,12]      		9544315779.852		-----          		NaN				9076060742.490
[1,10,13]      		9627658829.254		-----          		NaN				9076060742.490
[1,10,14]      		9739485190.833		-----          		NaN				9076060742.490
[1,10,15]      		9554315253.021		-----          		NaN				9076060742.490
[1,10,16]      		9683883045.869		-----          		NaN				9076060742.490
[1,10,17]      		9688281676.656		-----          		NaN				9076060742.490
[1,10,19]      		9532916696.402		-----          		NaN				9076060742.490
[1,10,20]      		9561766105.213		-----          		NaN				9076060742.490
[1,10,22]      		9307513122.255		-----          		NaN				9076060742.490
[1,10,23]      		9569686315.766		-----          		NaN				9076060742.490
[1,10,24]      		9784460286.515		-----          		NaN				9076060742.490
[1,11,13]      		9834414113.574		-----          		NaN				9076060742.490
[1,11,14]      		9379521903.793		-----          		NaN				9076060742.490
[1,11,15]      		9340053954.335		-----          		NaN				9076060742.490
[1,11,16]      		9986795182.457		-----          		NaN				9076060742.490
[1,11,17]      		9999571748.181		-----          		NaN				9076060742.490
[1,11,18]      		9957832714.892		-----          		NaN				9076060742.490
[1,11,19]      		9460418375.969		-----          		NaN				9076060742.490
[1,11,21]      		10063513836.807		-----          		NaN				9076060742.490
[1,11,22]      		10049525545.184		-----          		NaN				9076060742.490
[1,11,23]      		9666796808.667		-----          		NaN				9076060742.490
[1,11,24]      		10024464444.011		-----          		NaN				9076060742.490
[1,12,13]      		10241919485.165		-----          		NaN				9076060742.490
[1,12,14]      		9789447111.530		-----          		NaN				9076060742.490
[1,12,15]      		10244168986.800		-----          		NaN				9076060742.490
[1,12,16]      		10192010334.642		-----          		NaN				9076060742.490
[1,12,17]      		10202524518.158		-----          		NaN				9076060742.490
[1,12,19]      		10046072581.271		-----          		NaN				9076060742.490
[1,12,20]      		9773752020.569		-----          		NaN				9076060742.490
[1,12,22]      		9470425046.545		-----          		NaN				9076060742.490
[1,12,23]      		10199623040.593		-----          		NaN				9076060742.490
[1,12,24]      		10311936250.577		-----          		NaN				9076060742.490
[1,13,14]      		10285719205.783		-----          		NaN				9076060742.490
[1,13,15]      		10986658452.568		-----          		NaN				9076060742.490
[1,13,16]      		12515663695.325		-----          		NaN				9076060742.490
[1,13,17]      		12489516076.507		-----          		NaN				9076060742.490
[1,13,18]      		9801732864.214		-----          		NaN				9076060742.490
[1,13,19]      		11529761953.106		-----          		NaN				9076060742.490
[1,13,20]      		9815227537.037		-----          		NaN				9076060742.490
[1,13,21]      		10034347828.143		-----          		NaN				9076060742.490
[1,13,22]      		10756537952.732		-----          		NaN				9076060742.490
[1,13,23]      		12346852810.900		-----          		NaN				9076060742.490
[1,13,24]      		12490996732.932		-----          		NaN				9076060742.490
[1,14,15]      		9929285338.031		-----          		NaN				9076060742.490
[1,14,16]      		10394199903.596		-----          		NaN				9076060742.490
[1,14,17]      		10419216352.363		-----          		NaN				9076060742.490
